,accuracy,loss,iteration,triggers
0,0.8892543859649122,0.2935521900653839,0,the_the_the
1,0.9067982456140351,0.2583276331424713,1,##ltz_The_Whoever
2,0.8760964912280702,0.3477369546890259,2,provides_Samantha_Believe
3,0.8640350877192983,0.3896333575248718,3,##ltz_Winning_Pace
4,0.23355263157894737,2.6928694248199463,4,Exhibition_##ibly_wonderful
5,0.8782894736842105,0.3458206057548523,5,##vage_Loving_##mates
6,0.5087719298245614,1.6937540769577026,6,##enia_sweetness_inspiring
7,0.2642543859649123,2.5794334411621094,7,Fitzgerald_Very_##reshing
8,0.5646929824561403,1.29806387424469,8,gifted_insight_inclusive
9,0.5877192982456141,1.3235700130462646,9,reissued_Wonderful_journeys
10,0.7423245614035088,0.7203522324562073,10,##ivable_Citation_praised
11,0.8925438596491229,0.29655009508132935,11,snow_##rrel_Anthony
12,0.881578947368421,0.3424234986305237,12,Torah_Kenyan_##ús
13,0.8607456140350878,0.40319380164146423,13,Jazz_Eva_Angel
14,0.7247807017543859,0.7441971898078918,14,violin_sparkling_incorporates
15,0.8322368421052632,0.44558560848236084,15,##jn_Quartet_vital
16,0.6151315789473685,1.1882474422454834,16,##coming_César_beautifully
