,accuracy,loss,triggers,iteration
0,0.8317757009345794,0.5284929871559143,the_the_the,0
1,0.17523364485981308,3.8221395015716553,captivates_captivates_captivates,1
2,0.5630841121495327,1.2971529960632324,hudlin_disconnects_iwai,2
3,0.34345794392523366,2.5035555362701416,criticizes_compassionately_christelle,3
4,0.25,3.161963701248169,amaro_unfussily_smiles,4
5,0.12149532710280374,3.945111036300659,desplat_croze_captivating,5
6,0.1542056074766355,3.655400037765503,broomfield_plotless_succeeds,6
7,0.12149532710280374,3.9445784091949463,spiffing_musicals_captivates,7
8,0.10981308411214953,4.046417713165283,stunning_stare_underventilated,8
9,0.10046728971962617,4.207221508026123,witty_interweaves_visceral,9
10,0.1378504672897196,3.6418073177337646,guzmán_nijinsky_dahmer,10
11,0.16822429906542055,3.394758462905884,powerfully_yasujiro_compassionate,11
12,0.12149532710280374,3.8926985263824463,sprightly_infectiously_rediscover,12
13,0.09579439252336448,4.246519088745117,unforgettable_joyful_captivating,13
14,0.11214953271028037,3.9467012882232666,rintarô_transparently_iwai,14
15,0.10046728971962617,4.150629043579102,vibrant_filmgoing_godard,15
16,0.09579439252336448,4.2626118659973145,priceless_heartwarming_immersive,16
