,accuracy,loss,iteration,triggers,lstm_accuracy,cnn_accuracy,finetuned_bert_accuracy,lstm_w2v_accuracy
0,0.7861842105263158,0.49412211775779724,0,the_the_the,0.7927631578947368,0.768640350877193,0.8421052631578947,0.8585526315789473
1,0.0,14.27502727508545,1,solid_powerful_solid,0.0,0.0,0.2905701754385965,0.5778508771929824
2,0.0,20.986297607421875,2,solid_powerful_powerful,0.0,0.0,0.3815789473684211,0.2741228070175439
3,0.0,21.012327194213867,3,solid_powerful_powerful,0.0,0.0,0.45614035087719296,0.16666666666666666
4,0.0,21.012327194213867,4,solid_powerful_powerful,0.0,0.0,0.5230263157894737,0.13925438596491227
5,0.0,21.012327194213867,5,solid_powerful_powerful,0.0,0.0,0.506578947368421,0.12280701754385964
6,0.0,21.012327194213867,6,solid_powerful_powerful,0.0,0.0,0.5043859649122807,0.11403508771929824
7,0.0,21.012327194213867,7,solid_powerful_powerful,0.0,0.0,0.4725877192982456,0.11074561403508772
8,0.0,21.012327194213867,8,solid_powerful_powerful,0.0,0.0,0.46710526315789475,0.10964912280701754
9,0.0,21.012327194213867,9,solid_powerful_powerful,0.0,0.0,0.42653508771929827,0.1074561403508772
10,0.0,21.012327194213867,10,solid_powerful_powerful,0.0,0.0,0.4155701754385965,0.1074561403508772
11,0.0,21.012327194213867,11,solid_powerful_powerful,0.0,0.0,0.4407894736842105,0.10635964912280702
12,0.0,21.012327194213867,12,solid_powerful_powerful,0.0,0.0,0.4967105263157895,0.10526315789473684
13,0.0,21.012327194213867,13,solid_powerful_powerful,0.0,0.0,0.4956140350877193,0.10526315789473684
14,0.0,21.012327194213867,14,solid_powerful_powerful,0.0,0.0,0.49451754385964913,0.10526315789473684
15,0.0,21.012327194213867,15,solid_powerful_powerful,0.0,0.0,0.5,0.10526315789473684
16,0.0,21.012327194213867,16,solid_powerful_powerful,0.0,0.0,0.48135964912280704,0.10416666666666667
