,accuracy,loss,iteration,triggers,lstm_accuracy,cnn_accuracy,finetuned_bert_accuracy
0,0.875,0.30353087186813354,0,the_the_the,0.7927631578947368,0.768640350877193,0.8464912280701754
1,0.16447368421052633,2.21513295173645,1,spellbinding_spellbinding_spellbinding,0.017543859649122806,0.7489035087719298,0.8366228070175439
2,0.07456140350877193,2.9879212379455566,2,heartwarming_joyful_joyful,0.0,0.4758771929824561,0.8442982456140351
3,0.06578947368421052,3.2059245109558105,3,infectiously_heartwarming_joyful,0.0,0.14364035087719298,0.8410087719298246
4,0.06140350877192982,3.3054046630859375,4,heartwarming_joyful_joyful,0.0,0.14364035087719298,0.8377192982456141
5,0.05592105263157895,3.3659989833831787,5,infectiously_heartwarming_joyful,0.0,0.14364035087719298,0.8377192982456141
6,0.051535087719298246,3.4032838344573975,6,heartwarming_joyful_joyful,0.0,0.14364035087719298,0.8366228070175439
7,0.05043859649122807,3.4300997257232666,7,infectiously_heartwarming_joyful,0.0,0.14364035087719298,0.831140350877193
8,0.04824561403508772,3.4485082626342773,8,heartwarming_joyful_joyful,0.0,0.14364035087719298,0.8234649122807017
9,0.04824561403508772,3.462857484817505,9,infectiously_heartwarming_joyful,0.0,0.14364035087719298,0.8388157894736842
10,0.047149122807017545,3.4733173847198486,10,heartwarming_joyful_joyful,0.0,0.14364035087719298,0.8201754385964912
11,0.047149122807017545,3.4818716049194336,11,infectiously_heartwarming_joyful,0.0,0.14364035087719298,0.8333333333333334
12,0.047149122807017545,3.4883482456207275,12,heartwarming_joyful_joyful,0.0,0.14364035087719298,0.8497807017543859
13,0.047149122807017545,3.4938154220581055,13,infectiously_heartwarming_joyful,0.0,0.14364035087719298,0.8322368421052632
14,0.047149122807017545,3.4980664253234863,14,heartwarming_joyful_joyful,0.0,0.14364035087719298,0.8300438596491229
15,0.047149122807017545,3.501737356185913,15,infectiously_heartwarming_joyful,0.0,0.14364035087719298,0.8267543859649122
16,0.047149122807017545,3.5046474933624268,16,heartwarming_joyful_joyful,0.0,0.14364035087719298,0.8103070175438597
